249054877ULL 24680095ULL
360265190ULL 13399528ULL
312528547ULL 1601188ULL
30175505ULL 30171410ULL
36065058ULL 36060963ULL
97279644ULL 1419324ULL
142441575ULL 2223459ULL
263368026ULL 1326427ULL
2279144810ULL 1533291ULL
301404592ULL 1415602ULL
262090325ULL 6807126ULL
4315678929ULL 20711634ULL
133869578ULL 7532555ULL
244077495ULL 8320732ULL
26203629ULL 26007062ULL
190477470ULL 8257439ULL
174811217ULL 7408586ULL
148289464ULL 7653309ULL
232630974ULL 7219903ULL
84482539ULL 7181264ULL
637795623ULL 8910900ULL
120334477ULL 8608550ULL
86327649ULL 8391294ULL
135300219ULL 7312620ULL
117290152ULL 7796601ULL
69181120ULL 7636873ULL
118316416ULL 6890881ULL
97487561ULL 6630090ULL
167020100ULL 8657149ULL
102456075ULL 7745532ULL
123344142ULL 8720947ULL
59707923ULL 7527232ULL
57891781ULL 7079282ULL
208929610ULL 7236523ULL
123611447ULL 7194936ULL
185846443ULL 185842348ULL
86065139ULL 6354932ULL
57001545ULL 6415946ULL
44304130ULL 7008003ULL
77513718ULL 14181971ULL
70217807ULL 7354272ULL
249405534ULL 8520519ULL
115766868ULL 7342585ULL
60733139ULL 7294676ULL
80953328ULL 6479857ULL
91501521ULL 6884306ULL
99612139ULL 7348652ULL
